Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
587,169811,01:58:02.534,7082.534,170011,01:58:10.875,7090.875,200,00:00:08.342,8.342
588,170011,01:58:10.875,7090.875,170403,01:58:27.225,7107.225,392,00:00:16.350,16.350
589,170403,01:58:27.225,7107.225,170485,01:58:30.645,7110.645,82,00:00:03.420,3.420
590,170485,01:58:30.645,7110.645,170902,01:58:48.038,7128.038,417,00:00:17.392,17.392
591,170902,01:58:48.038,7128.038,172554,01:59:56.940,7196.940,1652,00:01:08.902,68.902
592,172554,01:59:56.940,7196.940,172731,02:00:04.322,7204.322,177,00:00:07.382,7.382
593,172731,02:00:04.322,7204.322,174601,02:01:22.317,7282.317,1870,00:01:17.995,77.995
594,174601,02:01:22.317,7282.317,177321,02:03:15.763,7395.763,2720,00:01:53.447,113.447
595,177321,02:03:15.763,7395.763,178245,02:03:54.302,7434.302,924,00:00:38.538,38.538
596,178245,02:03:54.302,7434.302,178359,02:03:59.057,7439.057,114,00:00:04.755,4.755
597,178359,02:03:59.057,7439.057,178439,02:04:02.393,7442.393,80,00:00:03.337,3.337
598,178439,02:04:02.393,7442.393,178553,02:04:07.148,7447.148,114,00:00:04.755,4.755
599,178553,02:04:07.148,7447.148,178744,02:04:15.114,7455.114,191,00:00:07.966,7.966
600,178744,02:04:15.114,7455.114,180551,02:05:30.481,7530.481,1807,00:01:15.367,75.367
601,180551,02:05:30.481,7530.481,180982,02:05:48.458,7548.458,431,00:00:17.976,17.976
602,180982,02:05:48.458,7548.458,181043,02:05:51.002,7551.002,61,00:00:02.544,2.544
603,181043,02:05:51.002,7551.002,181242,02:05:59.302,7559.302,199,00:00:08.300,8.300
604,181242,02:05:59.302,7559.302,181481,02:06:09.270,7569.270,239,00:00:09.968,9.968
605,181481,02:06:09.270,7569.270,181660,02:06:16.736,7576.736,179,00:00:07.466,7.466
606,181660,02:06:16.736,7576.736,182014,02:06:31.501,7591.501,354,00:00:14.765,14.765
607,182014,02:06:31.501,7591.501,182114,02:06:35.671,7595.671,100,00:00:04.171,4.171
608,182114,02:06:35.671,7595.671,182220,02:06:40.092,7600.092,106,00:00:04.421,4.421
609,182220,02:06:40.092,7600.092,182356,02:06:45.765,7605.765,136,00:00:05.672,5.672
610,182356,02:06:45.765,7605.765,182436,02:06:49.101,7609.101,80,00:00:03.337,3.337
611,182436,02:06:49.101,7609.101,182509,02:06:52.146,7612.146,73,00:00:03.045,3.045
612,182509,02:06:52.146,7612.146,182607,02:06:56.234,7616.234,98,00:00:04.087,4.087
613,182607,02:06:56.234,7616.234,182936,02:07:09.956,7629.956,329,00:00:13.722,13.722
614,182936,02:07:09.956,7629.956,183393,02:07:29.016,7649.016,457,00:00:19.061,19.061
615,183393,02:07:29.016,7649.016,183508,02:07:33.813,7653.813,115,00:00:04.796,4.796
616,183508,02:07:33.813,7653.813,183899,02:07:50.121,7670.121,391,00:00:16.308,16.308
617,183899,02:07:50.121,7670.121,184836,02:08:29.201,7709.201,937,00:00:39.081,39.081
618,184836,02:08:29.201,7709.201,185313,02:08:49.096,7729.096,477,00:00:19.895,19.895
619,185313,02:08:49.096,7729.096,186751,02:09:49.073,7789.073,1438,00:00:59.977,59.977
620,186751,02:09:49.073,7789.073,190973,02:12:45.166,7965.166,4222,00:02:56.093,176.093
621,190973,02:12:45.166,7965.166,191279,02:12:57.928,7977.928,306,00:00:12.763,12.763
622,191279,02:12:57.928,7977.928,191793,02:13:19.366,7999.366,514,00:00:21.438,21.438
623,191793,02:13:19.366,7999.366,192132,02:13:33.505,8013.505,339,00:00:14.139,14.139
624,192132,02:13:33.505,8013.505,192355,02:13:42.806,8022.806,223,00:00:09.301,9.301
625,192355,02:13:42.806,8022.806,192607,02:13:53.317,8033.317,252,00:00:10.510,10.510
626,192607,02:13:53.317,8033.317,192774,02:14:00.282,8040.282,167,00:00:06.965,6.965
627,192774,02:14:00.282,8040.282,192895,02:14:05.329,8045.329,121,00:00:05.047,5.047
628,192895,02:14:05.329,8045.329,193032,02:14:11.043,8051.043,137,00:00:05.714,5.714
629,193032,02:14:11.043,8051.043,193149,02:14:15.923,8055.923,117,00:00:04.880,4.880
630,193149,02:14:15.923,8055.923,193688,02:14:38.404,8078.404,539,00:00:22.481,22.481
631,193688,02:14:38.404,8078.404,193944,02:14:49.081,8089.081,256,00:00:10.677,10.677
632,193944,02:14:49.081,8089.081,194425,02:15:09.143,8109.143,481,00:00:20.062,20.062
633,194425,02:15:09.143,8109.143,194686,02:15:20.029,8120.029,261,00:00:10.886,10.886
634,194686,02:15:20.029,8120.029,194913,02:15:29.496,8129.496,227,00:00:09.468,9.468
635,194913,02:15:29.496,8129.496,195157,02:15:39.673,8139.673,244,00:00:10.177,10.177
636,195157,02:15:39.673,8139.673,195352,02:15:47.806,8147.806,195,00:00:08.133,8.133
637,195352,02:15:47.806,8147.806,195527,02:15:55.105,8155.105,175,00:00:07.299,7.299
638,195527,02:15:55.105,8155.105,195810,02:16:06.909,8166.909,283,00:00:11.803,11.803
